material_id,pick_count
VJKO023E26E000,1
VJKP023G16G000,3
VPI62404,3
VPI62405,1
VPI62417,3
VPI62421,1
VW3A1104R10,1
VW3A8306R30,2
XB5AA21,30
XB5AA31,9
XB5AD21,34
XB5AD25,9
XB5AD53,12
XB5AG41,2
XB5AS8445,3
XB5AVM3,10
XB5AVM5,14
ZB5AA4,10
ZB5AV013,7
ZB5AV033,25
ZB5AV043,34
ZB5AV053,24
ZB5AV083,2
ZB5AVBG1,28
ZB5AVM1,9
ZB5AZ101,18
ZBE101,35
ZBE102,16
ZBY9330T,2
ZBZ33,24
ZBZ35,35
